Cím	Studio	Rotten	Műfaj	Bevétel	Év
Spider-Man 3	Sony	61	Action	890,87	2007
Shrek the Third	Paramount	42	Animation	798,96	2007
Transformers	Paramount	57	Action	709,71	2007
Pirates of the Caribbean: At World's End	Disney	45	Action	963,42	2007
Harry Potter and the Order of the Phoenix	Warner Bros	78	Adventure	939,89	2007
I Am Legend	Warner Bros	69	Thriller	585,35	2007
The Bourne Ultimatum	Universal	93	Thriller	442,82	2007
National Treasure: Book of Secrets	Disney	31	Thriller	457,36	2007
Alvin and the Chipmunks	Fox	26	Animation	361,34	2007
300	Warner Bros	60	Action	456,07	2007
Ratatouille	Disney	97	Animation	623,72	2007
The Simpsons Movie	Fox	90	Comedy	527,07	2007
Wild Hogs	Disney	14	Comedy	253,62	2007
Knocked Up	Universal	91	Comedy	219,08	2007
Juno	Fox	94	Comedy	231,41	2007
Rush Hour 3	Warner Bros	20	Action	258,02	2007
Live Free or Die Hard	Fox	79	Action	383,53	2007
Fantastic Four: Rise of the Silver Surfer	Fox	35	Action	289,05	2007
American Gangster	Universal	79	Thriller	266,46	2007
Enchanted	Disney	93	Comedy	340,49	2007
Bee Movie	Paramount	52	Animation	287,59	2007
Superbad	Sony	88	Comedy	169,87	2007
I Now Pronounce You Chuck and Larry	Universal	13	Comedy	186,07	2007
Hairspray	Warner Bros	92	Musical	202,55	2007
Blades of Glory	Paramount	69	Comedy	145,71	2007
Ocean's 13	Warner Bros	70	Thriller	311,31	2007
Ghost Rider	Sony	28	Action	228,74	2007
Evan Almighty	Universal	23	Comedy	173,42	2007
Meet the Robinsons	Disney	66	Animation	169,33	2007
Norbit	Paramount	9	Comedy	159,31	2007
The Bucket List	Warner Bros	41	Drama	175,37	2007
The Game Plan	Disney	27	Comedy	147,88	2007
Beowulf	Paramount	71	Action	196,39	2007
Disturbia	Paramount	67	Thriller	117,76	2007
No Country for Old Men	Paramount	95	Drama	171,63	2007
The Golden Compass	Warner Bros	42	Action	372,23	2007
Charlie Wilson's War	Universal	82	Biography	119	2007
Saw IV	Independent	18	Horror	139,35	2007
Stomp the Yard	Independent	27	Musical	75,51	2007
Surf's Up	Sony	78	Animation	149,04	2007
Halloween	Weinstein	26	Horror	80,25	2007
Tyler Perry's Why Did I get Married	Independent	46	Romance	55,86	2007
P.S. I Love You	Independent	21	Romance	156,83	2007
